"IssuerID","State","Plan Type","ReportingUnitID","PlanID","OverallRatingValue","MedicalCareRatingValue","MemberExperienceRatingValue","PlanAdministrationRatingValue","NotRatedReason_OverallRatingDesc","NotRatedReason_MedicalCareRatingDesc","NotRatedReason_MemberExperienceRatingDesc","NotRatedReason_PlanAdministrationRatingDesc"
11512,NC,POS,11512-NC-POS,11512NC0340016,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340017,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340018,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340019,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340020,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340023,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340024,4,3,5,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060001,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060002,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060003,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060004,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060011,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060012,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060013,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060014,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060015,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060018,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060020,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060024,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060027,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060028,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060031,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060034,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060044,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060045,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060046,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060047,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060048,3,3,3,3,,,,
11512,NC,PPO,11512-NC-PPO,11512NC0060049,3,3,3,3,,,,
